! Anritsu VNA Master:             ,Model: MS2038C/11/15
! SN:             ,1223098
! /bd0/open.csv
! Existing Calibration Information:
! TYPE:             ,Current Settings,Active Cal Settings
! TIME:             ,04/24/2024 10:42:42 AM,04/24/2024 10:22:44 AM
! INTERNAL TEMP:    ,49.5 C,42.8 C
! # POINTS:         ,196,196
! START FREQ:       ,10.000 MHz,10.000 MHz
! STOP FREQ:        ,2.000 GHz,2.000 GHz
! SOURCE POWER:     ,High,High
! IFBW:             ,1 kHz,1 kHz
! AVG FACTOR:       ,  1 ,  1 
! REF PLANE 1:      ,0 mm,0 mm
! REF PLANE 2:      ,0 mm,0 mm
! CAL TYPE:         ,Full S11,Full S11
! CAL METHOD:       ,SOLT,SOLT
! CAL LINE TYPE:    ,Coax,Coax
! DUT PORT 1:       ,K-Conn(M),K-Conn(M)
! DUT PORT 2:       ,K-Conn(M),K-Conn(M)
! CAL STATUS:       ,?T: Accuracy moderate (|Temp diff| > 5.0 C),--
! PROP-V:       ,1.000
! CABLE LOSS:       ,0.000 dB/m
! REF IMPEDANCE:       ,50.0
! Trace Specific Parameters:,TR1
! TRACE.#.Y (GRAPH TYPE),POLAR.LINEAR.PHASE
! TRACE.#.X ,FREQ.GHZ
! S-PARAMETER,S11
! SMOOTH/APERTURE %,0
! WINDOW,NSL
! GATING,OFF
! FGTD,OFF
Marker Information per Trace:,TR1
!MK1,--
!MK2,--
!MK3,--
!MK4,--
!MK5,--
!MK6,--
!MK7,--
!MK8,--
PNT,TR1.FREQ.GHZ,TR1.POLAR.LINEAR,TR1.POLAR.PHASE.deg
1,  0.010000000,9.160006E-01,-7.807821E+01
2,  0.020205127,8.272475E-01,1.255670E+02
3,  0.030410256,6.950352E-01,2.706021E+01
4,  0.040615384,7.289184E-01,-3.463393E+01
5,  0.050820515,6.606547E-01,-1.498302E+02
6,  0.061025642,7.610793E-01,5.000426E+01
7,  0.071230769,6.889469E-01,-2.822450E+01
8,  0.081435896,4.878219E-01,-8.383965E+01
9,  0.091641031,5.771991E-01,1.014374E+02
10,  0.101846159,7.425230E-01,4.176677E+00
11,  0.112051286,5.366466E-01,-5.046598E+01
12,  0.122256406,3.562176E-01,-1.573499E+02
13,  0.132461533,6.958908E-01,3.337126E+01
14,  0.142666668,7.726134E-01,-2.602373E+01
15,  0.152871802,5.905286E-01,-8.991875E+01
16,  0.163076922,4.103144E-01,8.061903E+01
17,  0.173282057,7.366998E-01,-7.895574E+00
18,  0.183487192,7.201136E-01,-5.645613E+01
19,  0.193692297,3.196181E-01,-1.477843E+02
20,  0.203897446,6.008113E-01,1.189505E+01
21,  0.214102551,7.603452E-01,-4.153160E+01
22,  0.224307686,6.276592E-01,-8.867353E+01
23,  0.234512821,1.454218E-01,6.442180E+01
24,  0.244717941,6.302319E-01,-3.162332E+01
25,  0.254923075,6.642815E-01,-6.832905E+01
26,  0.265128195,4.791589E-01,-1.101495E+02
27,  0.275333345,3.009975E-01,1.316569E+00
28,  0.285538465,6.675545E-01,-5.589182E+01
29,  0.295743585,6.429446E-01,-9.145965E+01
30,  0.305948734,2.940283E-01,-1.387130E+02
31,  0.316153854,4.646096E-01,-3.501503E+01
